date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:02	24783/24783	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2017:52:00%20GMT	https://prehesap.com/urun/call-of-duty-modern-warfare-3	C:/My%20Web%20Sites/prehesapp/prehesap.com/urun/call-of-duty-modern-warfare-3.html	(from https://prehesap.com/)
20:52:03	25986/25986	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2017:52:01%20GMT	https://prehesap.com/urun/mafia-2	C:/My%20Web%20Sites/prehesapp/prehesap.com/urun/mafia-2.html	(from https://prehesap.com/)
20:52:03	56271/56271	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2022:58:29%20GMT	https://prehesap.com/uploads/products/5ef137956b1ae-modernwarfare3.jpg	C:/My%20Web%20Sites/prehesapp/prehesap.com/uploads/products/5ef137956b1ae-modernwarfare3.jpg	(from https://prehesap.com/)
20:52:03	52789/52789	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2022:57:33%20GMT	https://prehesap.com/uploads/products/5ef1375d4ae53-mafia2.jpg	C:/My%20Web%20Sites/prehesapp/prehesap.com/uploads/products/5ef1375d4ae53-mafia2.jpg	(from https://prehesap.com/)
20:52:03	24634/24634	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2017:52:01%20GMT	https://prehesap.com/urun/15-yillik-steam-hesabi	C:/My%20Web%20Sites/prehesapp/prehesap.com/urun/15-yillik-steam-hesabi.html	(from https://prehesap.com/)
20:52:03	85059/85059	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Jun%202020%2010:30:42%20GMT	https://prehesap.com/uploads/products/5ef47cd2390e7-15-yil.jpg	C:/My%20Web%20Sites/prehesapp/prehesap.com/uploads/products/5ef47cd2390e7-15-yil.jpg	(from https://prehesap.com/)
20:52:04	24795/24795	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2017:52:02%20GMT	https://prehesap.com/urun/portal-2	C:/My%20Web%20Sites/prehesapp/prehesap.com/urun/portal-2.html	(from https://prehesap.com/)
20:52:04	46226/46226	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2022:55:51%20GMT	https://prehesap.com/uploads/products/5ef136f720c5a-portal2.jpg	C:/My%20Web%20Sites/prehesapp/prehesap.com/uploads/products/5ef136f720c5a-portal2.jpg	(from https://prehesap.com/)
20:52:04	24833/24833	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Oct%202020%2017:52:02%20GMT	https://prehesap.com/urun/resident-evil-7-biohazard	C:/My%20Web%20Sites/prehesapp/prehesap.com/urun/resident-evil-7-biohazard.html	(from https://prehesap.com/)
20:52:04	70547/70547	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Jun%202020%2022:54:33%20GMT	https://prehesap.com/uploads/products/5ef136a94f596-residentevil.jpg	C:/My%20Web%20Sites/prehesapp/prehesap.com/uploads/products/5ef136a94f596-residentevil.jpg	(from https://prehesap.com/)
